id,word,english_translations
3,abandonado,abandoned
7,abierto,"open, unlocked"
18,absoluto,absolute
20,abstracto,abstract
21,absurdo,absurd
25,abundante,"abundant, plentiful"
27,aburrido,"boring, bored"
34,académico,academic
38,accesible,accessible
46,aceptable,"acceptable, suitable"
70,activo,active
75,actual,current
90,adecuado,"adequate, suitable"
97,adicional,additional
103,administrativo,administrative
104,admirable,admirable
122,aéreo,"aerial, air"
135,africano,African
146,agradable,"nice, pleasant"
149,agradecido,"grateful, thankful"
150,agrario,"agrarian, agricultural"
154,agresivo,aggressive
155,agrícola,"agricultural, farming"
163,agudo,"sharp, acute"
173,aislado,isolated
177,ajeno,"not belonging to, detached"
193,alegre,"happy, lively, cheerful"
196,alemán,German
204,alguno,"some, a few"
210,alimentario,food
233,alternativo,"alternating, alternative"
234,alto,"tall, high"
241,amable,"kind, nice, friendly"
246,amargo,"bitter, sour, painful"
248,amarillento,yellowish
249,amarillo,yellow
252,ambicioso,"ambitious, greedy"
253,ambiental,environmental
256,ambos,both
259,americano,American
266,amoroso,"loving, affectionate"
272,amplio,"wide, ample, broad"
277,ancho,wide
280,andaluz,Andalusian
282,andino,Andean
289,animado,"excited, lively"
296,anónimo,anonymous
300,ansioso,"anxious, eager"
307,anterior,"previous, preceding"
312,antiguo,"old, ancient, former"
313,anual,"annual, yearly"
317,apagado,turned off
321,aparente,apparent
338,aplicado,applied
352,apretado,"tight, jammed"
356,apropiado,appropriate
360,apto,"appropriate, fit, able"
366,aquel,that (over there)
370,árabe,Arab
377,ardiente,"passionate, ardent"
380,argentino,Argentine
384,armado,armed
389,arqueológico,"archaeological, archeological"
391,arquitectónico,architectural
406,arrugado,"wrinkled, creased"
414,artificial,artificial
416,artístico,artistic
433,asiático,"Asian, Asiatic,"
443,asociado,associated
448,asombroso,amazing
450,áspero,"rough, coarse, harsh"
456,asustado,"scared, frightened"
467,atento,"attentive, polite"
470,atómico,"atomic, nuclear"
474,atractivo,attractive
492,auténtico,authentic
496,automático,automatic
499,autónomo,autonomous
503,autorizado,authorized
508,avanzado,advanced
526,azul,blue
535,bajo,"short, low"
543,bancario,"bank, banking"
551,barato,inexpensive
554,bárbaro,"savage, horrible"
561,barroco,"baroque, elaborate"
565,básico,"basic, essential"
566,bastante,"rather, fairly, quite a bit (ADV)"
578,bello,"beautiful, fine"
587,bíblico,biblical
596,bienvenido,welcome
601,biológico,biological
602,blanco,white
603,blando,"soft, limp, gentle"
612,boliviano,Bolivian
619,bonito,"pretty, nice"
623,borracho,drunk
631,brasileño,Brazilian
632,bravo,"fierce, angry"
634,breve,"brief, short"
635,brillante,"brilliant, shiny, sparkling"
640,británico,British
645,brusco,"brusque, abrupt, sudden"
646,brutal,"brutal, savage"
647,bruto,"brutal, coarse, clumsy"
649,bueno,good
669,cada,"each, every"
684,cálido,warm
685,caliente,"hot, warm, spirited"
688,callado,"quiet, reserved"
713,canadiense,Canadian
723,cansado,"tired, tiresome"
735,capaz,"capable, able"
739,capitalista,capitalist
750,característico,characteristic
765,cariñoso,affectionate
768,caro,"expensive, difficult, dear"
779,casado,married
782,casero,homemade
786,castellano,"Castilian, Spanish"
791,catalán,Catalan
797,católico,Catholic
809,celebrado,"celebrated, famous"
811,célebre,"famous, renowned"
812,celeste,"heavenly, sky-blue"
824,central,central
830,cercano,near
832,cerebral,cerebral
836,cerrado,closed
850,chileno,Chilean
852,chino,Chinese
854,chiquito,tiny
864,ciego,blind
867,científico,scientific
872,cierto,"certain, sure, true"
880,cinematográfico,cinematic
896,cívico,"civic, civil"
897,civil,civil
901,claro,clear
904,clásico,classic
913,climático,climatic
915,clínico,clinical
929,coherente,"coherent, connected"
939,colectivo,"collective, joint"
943,colgado,hanging
949,colombiano,Colombian
951,colonial,colonial
953,colorado,"red, colored"
968,comercial,"commercial, shopping"
972,cómico,comic
982,cómodo,"comfortable, convenient"
983,compacto,"compact, dense"
995,competente,"competent, able"
998,competitivo,competitive
1001,complejo,"complex, complicated"
1004,complementario,"additional, complementary"
1008,completo,complete
1010,complicado,"complicated, complex"
1027,comprometido,"committed, engaged"
1029,compuesto,"composite, mixed"
1031,común,common
1038,comunista,Communist
1039,comunitario,of the community
1055,concreto,"concrete, real"
1083,confuso,"confused, mixed up"
1092,conocido,"known, well-known"
1097,consciente,"conscious, aware"
1099,consecutivo,consecutive
1106,conservador,conservative
1108,considerable,considerable
1118,constante,constant
1123,constitucional,constitutional
1141,contemporáneo,contemporary
1144,contento,"happy, content"
1148,continental,continental
1154,continuo,continuous
1158,contradictorio,contradictory
1160,contrario,"contrary, opposite"
1171,contundente,"decisive, blunt, forceful"
1174,convencional,conventional
1176,conveniente,convenient
1207,corporal,"of the body, corporal"
1211,correcto,"correct, suitable"
1218,correspondiente,corresponding
1220,corriente,"current, common"
1226,corto,"short, brief"
1234,costarricense,Costa Rican
1236,costero,coastal
1238,costoso,"costly, expensive"
1240,cotidiano,daily
1246,creativo,creative
1248,creciente,"growing, increasing"
1260,criminal,criminal
1264,cristiano,Christian
1268,crítico,critical
1271,crónico,chronic
1273,crudo,"raw, crude, natural"
1274,cruel,"cruel, harsh"
1277,cruzado,"crossbred, double-breasted, crossed"
1281,cuadrado,square
1286,cualquiera,"any, anyone"
1289,cuanto,"en c. a: in terms of, regarding"
1290,cuánto,how much?
1294,cuarto,fourth
1296,cubano,Cuban
1298,cubierto,covered
1318,culpable,guilty
1322,culto,"cultured, educated"
1324,cultural,cultural
1337,curioso,"curious, strange"
1355,debido,d. a: due to
1356,débil,weak
1362,decente,"respectable, decent"
1363,decidido,"determined, resolute"
1365,décimo,tenth
1368,decisivo,"decisive, conclusive"
1372,decorado,decorated
1382,defensivo,defensive
1387,definido,definite
1390,definitivo,"definitive, conclusive"
1395,delgado,"thin, skinny"
1396,delicado,delicate
1397,delicioso,"delicious, delightful, charming"
1403,demás,"the rest, others"
1406,democrático,democratic
1414,denso,"heavy, dense, thick"
1422,deportivo,"sports, sporty"
1428,derecho,"right, straight"
1437,desagradable,unpleasant
1447,descalzo,barefoot
1459,desconocido,unknown
1476,desesperado,"desperate, hopeless"
1483,desierto,"deserted, desolate"
1487,desnudo,"nude, naked"
1490,despacio,"slow, slowly"
1495,despierto,awake
1512,detallado,"detailed, thorough"
1522,determinado,"determined, fixed"
1538,diario,daily
1542,dicho,"aforementioned, said"
1556,diferente,"different, separate"
1558,difícil,"difficult, hard"
1565,digital,digital
1567,digno,worthy
1570,diminuto,"diminutive, tiny, minute"
1572,dinámico,dynamic
1577,diplomático,diplomatic
1582,directivo,"managerial, administrative"
1583,directo,"direct, straight"
1590,discreto,"discreet, tactful"
1612,disponible,available
1615,dispuesto,"willing, ready"
1619,distante,"distant, far, remote"
1622,distinto,"distinct, different"
1629,diverso,"different, various, several"
1630,divertido,"funny, amusing"
1633,divino,divine
1639,doble,double
1646,documental,documentary
1651,doloroso,painful
1652,doméstico,domestic
1654,dominante,"dominant, prevailing"
1657,dominicano,Dominican
1665,dorado,"golden, gold-plated"
1673,dramático,dramatic
1677,dudoso,"doubtful, dubious"
1681,dulce,sweet
1689,duro,hard
1692,ecológico,"ecological, organic"
1695,económico,economic
1705,editorial,editorial
1708,educativo,educational
1710,efectivo,effective
1714,eficaz,effective
1716,eficiente,efficient
